project android/
647418a      Elektroschmock       Switch to our forks of QCOM display / gps / media
3bc4dc9      Sourajit Karmakar    Track our external/perfetto fork
3c9029f      Michael Bestas       Lineage 18.1
b765901      Michael Bestas       manifest: android-11.0.0_r17 -> android-11.0.0_r19
b9752fc      Bruno Martins        README: Jenkins is dead, so point to its replacement
dea881f      Oliver Scott         manifest: switch to our fork of system/netd
project art/
dd1d9ba185   Nicholas Lim         art: Conditionally remove version check for memfd_create()
b7102e846b   Luca Stefani         Add an option to disable sse4.2 features
project bionic/
e3c150e47    Quallenauge          Add ability to build scudo-free 32-bit libc variant.
7b8639976    Tom Marshall         bionic: Support wildcards in cached hosts file
cc2b85507    Tom Marshall         bionic: Sort and cache hosts file data for fast lookup
c9a49c1e4    LuK1337              linker: Convert lineage product variables to soong config variables
519a618d2    Ethan Chen           bionic: Squash of pre-P mutex behavior restoration
fc1fe32d8    Danny Baumann        Implement per-process target SDK version override.
f935cf52b    Rashed Abdel-Tawab   libc: Mark libstdc++ as vendor available
36a43e5c9    Christopher R. Palmer linker: Add support for dynamic SHIM libraries
7182b0a71    Roopesh Rajashekharaiah Nataraja Add inaddr.h header file
project bootable/recovery/
dc9268fc     Alessandro Astone    recovery: make /etc/fstab only include entries that match the detected fs type
0c3b2bd1     Alessandro           recovery: Don't print mount errors when checking for encryption
ac5322f8     Tom Marshall         recovery: Hide unmountable volumes from selection
f698d9fa     Tom Marshall         recovery: Implement a volume manager
9e6ff0f0     Kelvin Zhang         Return the correct action for PromptAndWait
576edb34     Brint E. Kriebel     applypatch: Update recovery only when enabled in Updater settings
f5818ed1     Vitalii Kulikov      minui: Allow skipping EV_REL input devices.
18dc716a     Alessandro Astone    recovery: allow A/B updater to downgrade
304cbe61     Tom Marshall         recovery: Allow bypassing signature verification on non-release builds
a882d20a     Alessandro Astone    recovery: wipe bootloader message from index 0 when using custom offsets
0e369f42     Alessandro Astone    recovery: Allow custom bootloader msg offset in block misc
ee623849     LuK1337              recovery: Handle LINEAGE_VERSION_APPEND_TIME_OF_DAY in ver_date
0da37be7     Alessandro Astone    recovery: Always use the text menu for rescue party
860bca11     Alessandro Astone    recovery: Draw header lines with less padding
4806147d     Erfan Abdi           recovery: Map logical partitions before installation
